sifra_umetnika,ime_umetnika,biografija,debut,tip
361765,N.Flying,"N. Flying (short for New Flying) is a band formed by FNC Entertainment in 2013. The group released their first digital indie single &ldquo;Basket&rdquo; in Japan in 2013 ahead of their official Korean debut in 2015. The band originally consisted of four members; Kwon Kwang-jin, Lee Seung-hyub, Cha Hun and Kim Jae-hyun. Yoo Hwe-seung became a new addition to the band in 2017 while Kwon Kwang-jin left the band in 2018 and his position was filled by Seo Dong-sung in 2020.",2013,SO
368948,MeloMance,"MeloMance is a South Korean duo formed in 2013. The group&rsquo;s members are Kim Min-seok who is in charge of vocals and Jeong Dong-wha who plays the piano. The group debuted on March 10, 2015 with the EP Sentimental under Heaven Company.",2015,SK
361195,Epik High,"Epik High is a South Korean hip-hop group which debuted in 2003. The members consist of Tablo, Mithra Jin and DJ Tukutz. The group is known for combining different genres and styles of hip-hop as well as their coverage of diverse lyrical themes. The group took a hiatus from 2010 to 2012 while two members served mandatory military service. Upon their return, the group went under the YG Entertainment label. Epik High is also known internationally, becoming the second Korean act to perform at Coachella.",2003,SK
232647,Kim Dong-ryul,"Kim Dong-ryul is a talented musician who is capable of writing lyrics, composing, arranging and producing albums. Kim is a passionate young man who writes and sings his own music. In 1993, Kim formed a team called “Exhibition” with his buddy Seo Dong-wook and competed in the MBC College Music Festival. The team received the Grand Prize at the song contest with their song “In Dreams” and made their debut in the local pop music world.     Since their debut, the team released two official albums and recorded hit numbers like ‘An Etude of Memories’, ‘High Above’ and ‘Truth in Wine’. However, in January 1997, the team all of a sudden wrapped up their musical activities with a farewell album. In October the same year, Kim Dong-ryul formed a project group called “Carnival” with Lee Jeok, then a member of “Panic”. Displaying a perfect harmony between the low tone of Kim’s voice and Lee Jeok’s high key, the project team received a great response with songs like “That’s how it was then” and “A goose’s dream”.     In 1998, Kim Dong-ryul made his solo debut with the album ‘The Shadow Of Forgetfulness’. The title song of Kim’s first solo album “Consideration” was a sad ballad in a jazzy style that played a leading role in bringing about a ballad resurgence to the local pop music scene. In April of 1999, Kim flew to the Berkley College of Music in Boston. Although he was studying in the US, Kim released his 2nd and 3rd albums during his some time off from school. In April of 2004, Kim returned to Korea from his studies and released his 4th album, entitled “Revealing my true heart”.    Kim also created another project group called the Veranda Project, featuring Lee Sang-soon of Roller Coaster.",1993,SO
232580,Sechs Kies,"Meaning “six crystals” in German, Sechs Kies was one of the hottest idol groups of the late 1990s, together with H.O.T. The group made its debut in 1997 and ruled the Korean pop music scene until it officially disbanded in May 2000. Even after the group broke apart, their hits like “Couple,” “Premonition,” and “Com’ Back” remains young Koreans’ favorite songs to this day. Five out of its six members still stay busy in the entertainment industry with Eun Ji-won, Lee Jae-jin, and Kang Sung-hoon carving out their niches as solo artists and Kim Jae-duk and Jang Su-won winning hearts of young girls as a new duet called “J-Walk.” Lately Eun Ji-won is reliving his glory days as a rapper as well as an endearing member of the variety show “Happy Sunday.”",,SO
403584,Highlight,"Highlight is a boy band that was formerly known as Beast. The band debuted in 2009 with the EP &ldquo;Beast is the B2ST&rdquo; and originally had two more members: Jang Hyun-seung and Yong Jun-hyung, who left the group in 2016 and 2019 respectively. The group changed labels in 2016 and also changed their name to Highlight in 2017. They made a comeback after a 2.5 years hiatus in March 2021 with their third EP, &ldquo;The Blowing.&rdquo;",2009,SK
368552,Baek Hyun,"Baekhyun (born Byun Baek-hyun) is a South Korean singer, songwriter and actor who debuted as a member of the boy band EXO. He is also a member of the sub-units EXO-K and EXO-CBX. Baekhyun released his first solo EP &ldquo;City Lights,&rdquo; in July2019 which was a commercial success. His second EP, &ldquo;Delight&rdquo; was released in 2020 and sold over one million copies, becoming the first album by a solo artist in Korea to do so in 19 years.",2012,SO
367232,Kim Na-young,"Kim Na-young is a South Korean singer who became immensely popular after her single &ldquo;What If It Was Going&rdquo; topped the music chart for one of South Korea&rsquo;s biggest music streaming sites in 2015. Kim debuted in 2012 after a video of her busking in the Hongdae area went viral, attracting over 1 million views.",2012,SO
239165,I.O.I,"The group I.O.I debuted in 2016 through the reality survival show ""Produce 101"" on Mnet. The group members were chosen from a pool of 101 trainees from various entertainment companies/agencies in Korea. The 11 finalists of the show were able to debut as a member of the new group I.O.I. The group is contracted to actively promote four albums (as a whole group or sub-unit groups) over the span of 10 months.     The name I.O.I is short for ""Ideal of Idol"", meaning that the group wants to meet all the ideal criteria for an idol group.     This method of screening and debuting of a girl group (most notably girls that had already started receiving training under their respective various talent agencies) was never tried before until the show Produce 101.",2016,SO
233357,Wonder Girls,"The Wonder Girls, the teen girl group created by famous singer and producer Park Jin-young, released their much-anticipated first single on February 13, 2007. This birth of this group began with a national talent show, which aired on a local television station in 2001. Producer Park found Min Sun-ye through the show and through further auditions, found the other 4 members of the group.  Further down the line, the parents of one of the original members, Hyunah, pulled their daughter out of the group due to health issues. Yubin was then next up in the JYP trainee line to take her place just in time to continue promoting the Wondergirls single ""Tell Me"". ""Tell Me"" was a song off of their first full-length album that also caused what was called the ""Tell Me Virus"". The addictive dance to the number one song became so popular that their were viral videos of everyone imitating it. From there on out, the Wondergirls became a household name in Korea churning out hit after hit such as ""So Hot"" and ""Nobody"".    The girls then attempted to branch out by debuting in the US with the English version of their single ""Nobody"" in the summer of 2009. They also opened up for the ever so popular Jonas Brothers for what was initially a total of 13 concerts. They later signed up to open up for the remaining concert dates for 45 concert dates. They became the first Korean group to make it onto the Billboard Hot 100 Charts, not to mention ""Nobody"" also topped the music charts in Taiwan and Hong Kong.    Late January of 2010, it was announced that another original member, Sun-mi, was dropping out of the group to focus on her academic career. This opened up a spot for Lim Hye-rim, another JYP trainee, to join the group. The girls have been prepping for their first debut English album consisting of half of their older Korean hits re-written in English, and the other half being new material. They're also planning on a US and Canada tour in the very near future.    Currently, their new single ""2 Different Tears"" which was released in May of 2010, has been nothing short of the kind of success that the Wondergirls have no doubt grown accustomed to.",,SO
391492,Yoo A,YooA (or Yoo Si-ah) is a South Korean singer and member of the girl group Oh My Girl under WM Entertainment. She made her debut as a solo artist with her first EP &ldquo;Bon Voyage&rdquo; in 2020 after taking part in the TV reality show &ldquo;Queendom&rdquo;.,2015,SO
391811,Sandeul (B1A4),,2011,SO
365887,NCT 127,"NCT 127 is a sub-unit of the boy group NCT which debuted on July 7, 2016. Their name comes from the acronym for Neo Culture Technology, and the number 127 is the longitudinal coordinate of Seoul. The sub-unit has seven members: Taeyong, Taeil, Yuta, Jaehyun, Winwin, Mark, Haechan. Johnny, Doyoung and Jungwoo. They debuted with the EP, NCT #127.",2016,SK
234783,Jay Park (Park Jae-bum),"Jay Park was born in Washington of the US. He trained under JYP for four years before debuting in 2008 as a member of the idol group 2PM. Unfortunately, some negative comments he made about Korea on his personal myspace back in 2005 came to light in 2009. The public grew furious and led to his departure from the group and from JYP Entertainment. He went back home to Seattle in the US.    There he uploaded a cover of the popular song ""Nothin' On  You"" by B.o.B and Bruno Mars. His own lyrics and smooth vocals made for an impressive video on YouTube. The video went viral, showing the public that he was a strong enough artist to stand on his own two feet without the rest of 2PM.    Jay eventually came back to Korea in 2010, where he signed with a new label and also was cast in a dance movie ""Hype Nation"". Though the movie itself saw troubles along the way, and ultimately flopped, Jay started to see great success as a solo singer and rapper.     Jay's debut stage on the music chart show ""Music Bank"" saw him win his first number one trophy with the song ""Abandoned"". This made him the first solo singer to do so on their debut stage.     Many of Jay's albums and singles went platinum. Come 2013, Jay started his own independent hip hop label called AOMG. He is co-CEO with Simon Dominic. It is one of the most successful independent hip hop labels in Korea.",2008,SO
239455,EXO-CBX,"EXO-CBX is the first official sub-unit from the popular kpop group EXO. It's made up of the three EXO members: Chen, Baekhyun, Xiumin. The name EXO-CBX is thus obviously the members' names abbreviated.     The trio first worked together on a soundtrack song ""For You"" for a SBS drama ""Moon Lovers: Scarlet Heart Ryeo"" in August of 2016. Fans speculated that the three would make another release as a sub-unit. Sure enough, they did.    Their debut mini album included not only the title track ""Hey Mama!"", but four other songs that range in genre from electronic dance, R&B ballad, and retro pop.",2016,SO
239261,Suzy,"Suzy or Bae Su-ji is a South Korean singer and actress who is a member of the girl group Miss A under JYP Entertainment. Suzy made her debut as part of Miss A in July 2010 along with Fei, Jia and Min. The group official disbanded in December, 2017. In early 2017, Suzy made her solo debut with the album titled, “Yes? No?.”",2010,SO
238441,Niel (Daniel Ahn),"Niel, real name Daniel Ahn, first debuted onto the k-pop scene as the lead singer of the group Teen Top in 2010. After five years, he debuted as a solo singer in February of 2015.    When Niel was young, he actually had dreams of becoming a soccer player. He then developed interest in acting after reportedly seeing actor Yoo Seung-ho as a child in the film ""The Way Home"".  Niel started attending acting school and was even cast in a drama called ""Children's Chorus"" in the fifth grade.    Niel later was inspired by Michael Jackson's song ""Ben"" to pursue singing. This lead him to start taking dance and music lessons, eventually preparing him for his k-pop debut.",2010,SO
387567,Rain,"Rain (Jung Ji-hoon) is a singer/songwriter, actor and music producer. He debuted in 1998 at the age of 16 as a member of the boy band FanClub, but the group was unsuccessful. He made his solo debut as &ldquo;Rain&rdquo; in 2002 which was successful. His third album, &ldquo;It&rsquo;s Raining&rdquo; was a huge hit not just in Korea but in Asia, cementing Rain&rsquo;s position as an international star. Rain also made his acting debut in 2003 and broke into Hollywood through &ldquo;Speed Racer&rdquo; in 2008. In 2015, he set up his own company, R.A.I.N Company.",1998,SO
238517,Seenroot,"Seenroot is an indie duo that is made up of Kim Root and Shin Hyun-hee. They have an acoustic/folk style. Shin's unique vocals immediately sets them apart from other groups. Their lyrics are also humorous, witty, simple, yet relatable.     The group remained relatively unknown until a popular internet broadcast jockey did a cover of their song ""Sweetheart"" in 2017. Their song suddenly caught on like wildfire. Their song started climbing up the music charts, years after it's release.     The two then immediately became a recognized indie act in Korea.",2014,SO
238495,Minah,"Minah is a member of the group Girls Day. She debuted as one of the lead vocalists of the group in 2010, and has since gained much experience in entertainment along the way.    In addition to singing, she has also tried her hand at acting on TV and in movies. She even debuted as a solo singer, without her Girls Day members, in 2015 with the song ""I'm A Woman Too"".    Minah became an online sensation thanks to a video shot of her singing Beyonce's song ""Irreplaceable"", on the streets of Myeongdong. Thus she decided to make a poetic full circle, but performing her solo debut showcase in Myeongdong.    As for her personal life, she was once romantically linked with soccer player Son Heung-min for a brief period, from about July to October of 2014.",2010,SO
234863,Heo-gak,"Heo-gak is the winner of the 2010 Mnet Super Star K 2 Challenge. He gained an immense following of fans throughout the series. Although during the earlier half of the competition it appeared that his competitor John Park had the win in the bag, Heo-gak slowly gained ground and took the grand prize with flying colors.     Heo-gak actually had a tougher childhood than most. Having to have dealt with his parent’s divorce at an early age, he dropped out of school after junior high. He then helped contribute to his family income by working as a ventilator repairman. He also did some singing gigs on the side for extra money, not to mention it fueled his passion for music. After having released his single “Whenever” in November of 2010, the song quickly rose up the ranks, dominating the top tier of all the major music charts.",2010,SO
234840,Ga-in,"There have been girl groups that just blew up on the k-pop scene the second they entered it. Not to say that those successes will inevitably be a flash in the pan, because that’s not necessarily the case. However, something’s got to be said for the groups that slowly and steadily emerge from the bottom. The Brown Eyed Girls is an example of the latter. Seeing only moderate success with their first few songs after debuting in 2006, the music industry only really sat up and took notice with their hit “Abracadabra” in 2009. Showing off an edgier look with sexy dance moves featuring a feminine swaying of the hips, the BEG proved to be a force to be reckoned with.  One by one, the members of the group started embarking on solo activities. Whether it be being featured on variety programs, hosting their own radio shows, or debuting as a solo artist, BEG started to be recognized as separate entities.   Ga-in in particular became very popular thanks to the show “We Got Married”. She was paired up with 2AM’s leader, Jo-kwon in a pretend marriage. The couple was immediately well-received by the public and were nicknamed the “Ad-am Couple” because “ad-am” in Korean means cute and small. With the show’s help, the couple released a catchy duet called “We Fell In Love”. Fans couldn’t get enough of it, boosting its rankings into the top tier of the music charts.  Ga-in then decided to go fully solo, not long after fellow BEG member Narsha had a successful run with her own solo activities. Not much after releasing her first single “The Undoable”, Ga-in’s song became number one on the Gaon online music charts. She also took home the crown for a live music performance show in Korea, demonstrating her popularity.  “The Undoable” has been praised for fusing unique and different genres of music: electronic and tango. Her sexy stage performances and drama-like music video featuring Lee Seong-jae have only heightened the hype.",2006,SO
232571,SHINHWA,,,SO
233163,Na Ul,"Singer and artist Naul originally debuted as a member of the four-member R&B group “Anthem” in 1999 but after the group’s disbandment, he began activities as part of the R&B duo Brown Eyes in 2001 with Yoon Gun. He is famous for singing the theme song for the 2002 Korea-Japan FIFA World Cup with Lena Park. Infamous for his reluctance to make TV or radio appearances, he never made media appearances even when promoting for Brown Eyes. Since 2010, he has been part of the faculty for the school of music at Korea Nazarene University.",,SO
239172,Tiffany,"Born in California of the US, Tiffany later came to Korea and auditioned for SM Entertainment. She passed the auditions, joining the agency in 2004. She debuted as one of the members of the group Girls Generation. This group would soon rise to become arguably the number one girl group in Korea.    Thanks to her success as a Girls Generation member, Tiffany soon was involved in all realms of entertainment. She was not just a singer, but TV show emcee, musical actress, and even acted on a TV drama. She debuted as a subunit group of Girls Generation, called TaeTiSeo, in 2012. TaeTiSeo saw much success as well.    Tiffany debuted as a solo artist in 2016 with the title song ""I Just Wanna Dance"". She was the second member of Girls Generation to make an official solo debut, following the leader Taeyeon. Tiffany's song reached number one on many of Korea's major music charts, proving her consistent popularity.",2007,SO
239174,Nam Woo-hyun,"Nam Woo-hyun grew up with the dream of becoming a soccer player. However, he soon came to realize his love for music and changed courses to pursue a singing career. He auditioned for various agencies, but ultimately signed with Woollim. He debuted as a member of Infinite in 2010.    Woo-hyun has participated in another group called ToHeart, consisting of him and his good friend Key of SHINee.     He made his official solo debut in 2016 with a mini album titled ""Write"". It consisted of six tracks, three of which were composed by Woo-hyun himself.",2010,SO
237713,Eddy Kim,"Eddy Kim was one of the contestants that made it to the top 6 for the popular competition show Super Star K Season 4.    Though he may not have finished first, he still went on to sign with Mystic89, an agency boasting some major singer-songwriter talents, all headed by one of the most representative singer-songwriter and all-around entertainer Yoon Jong-shin.    Eddy debuted with his first single ""2 Years Apart"" and album ""The Manual"" in 2014. The album was a hit with the song ""The Manual"" gathering him a solid fan base for not only his smooth vocals, but the unique lyrics describing how to take care of the girl in the format of a manual guide.    Eddy released songs here and there, a lot of soundtracks singles as well for dramas. He went on to sing one of the remakes of the year in 2016. He did a cover of S#arp's classic ""My Lips Like a Warm Cup of Coffee"". It was a mega hit, putting a modern spin on an old school k-pop track.     His sound can be described as mostly mid-tempo, smooth and with an acoustic vibe thanks to a dominant guitar sound.",,SO
351688,Monsta X,Monsta X is a South Korean boy group which debuted in 2015. The group formed through a,2015,SK
345359,seventeen,"Seventeen (also stylized as SVT) is a South Korean boy group which debuted under Pledis Entertainment in 2015. The group has 13 members and they are divided into three sub-units specializing in hip hop, vocals and performance. The group&rsquo;s members are known for their composition skills and choreography which has earned them the nickname, &ldquo;self-producing&rdquo; idol group.",2015,SK
340355,NU&rsquo;EST W,"NU&#39;EST is a boy band formed by Pledis Entertainment which debuted in 2012 with JR, Aron, Baekho, Minhyun and Ren as members. NU&rsquo;EST W is a subunit of the group NU&rsquo;EST consisting of all of the members excluding Minhyun who became a member of the popular project group Wanna One after participating in the reality TV audition series Produce 101 Season 2. The remaining members of the group decided to promote as a special four-member unit until Minhyun&rsquo;s return and &ldquo;W&rdquo; in the name stands for &ldquo;wait.&rdquo; NU&rsquo;EST released their debut EP in 2017 which was well received.&nbsp;",2017,SK
353582,MINO,"Mino (Song Min-ho) is a rapper, songwriter, producer and member of the boy band Winner. He debuted as a member of the group BoM in 2011 but the group disbanded two years later. In 2013 he signed with YG Entertainment and debuted as a member of the group Winner.",2011,SO
239025,AOA CREAM,,,SO
403998,SG Wannabe,"SG Wannabe debuted in 2004 with the single &ldquo;Timeless&rdquo; and consisted of members Kim Yong-jun, Kim Jin-ho and Chae Dong-ha. In 2008, Chae left the group and Lee Seok-hoon joined as a new member. The group went on an extended hiatus in 2011 as the members focused on their solo careers and served out their military service. The group came back together in 2015 to release &ldquo;The Voice.&rdquo; The group&rsquo;s hit songs recently made a splash and came back on domestic music charts after the group made an appearance on the show &ldquo;Hangout with Yoo&rdquo; in March 2021.",2004,SK
235698,Simon D,"Simon Dominic, or Simon D for short is originally a member of the popular hip hop duo Supreme Team.     Though there's no doubt that Supreme Team started to heat things up on the music charts for their hip hop musicality, Simon D started to make a name for himself with his charming personality and thick Busan accent through variety programs like ""Hot Brothers"".    Though he had released solo songs before, he didn't release a solo album until 2011. This release was followed with a controversial finding over his Supreme Team groupmate, E-sens. E-sens was caught for the usage of marijuana, and announced a temporary break from entertainment.",,SO
359232,Kassy,"Kassy is the stage name for Kim So-yeon, a South Korean singer who debuted in 2015 and competed on the survival reality show &ldquo;Unpretty Rapstar 3&rdquo; in 2016. She has since released two EPs and numerous singles.",2015,SO
237714,Crush,"At the time of his debut, most people weren't familiar with a singer named Crush. The funny thing was, he was very much active, albeit more behind the scenes, in the hip hop and R&B realm of Korea. He had helped by featuring on track and producing tracks for some of the top hip hop and R&B acts like Jay Park, Zion.T, Dynamic Duo, Rhythm Power, Loco, Simon D, Yang Dong-geun, and more.     Crush finally made his own debut in 2012 with the single ""Red Dress"". He remained pretty under the radar. He did finally start to get some attention with the release of ""Sometimes"" in 2014. The sung is about a guy thinking back on his past love.",2012,SO
235470,B.A.P,"From the same entertainment agency as the popular girl group Secret comes B.A.P. In fact, they've been dubbed the ""male Secret"" before their debut.    B.A.P stands for ""Best"", ""Absolute"", and ""Perfect"", and those are the three traits that the large-sized group strives for. Three of the members (Bang Yong-gook, Zelo, and Him-chan) were unveiled to the public as hosts of a TV show. In fact, Bang had debuted previously as a solo singer, and then as a unit group with Zelo in Bang Yong-gook & Zelo. Thus they already had quite a following even before the rest of the members were announced.    At the group's debut showcase, 3,000 fans showed up with about 300 of them estimated to have been from overseas. This was at the same venue that top stars like Kim Hyun-joong, Epik High, and Jay Park held their showcases at. Not too shabby for rookie stars.    The group's debut song ""Warrior"" fared well on various music charts, and their music video was the number one most searched item on all major portal sites in real time. They were also predicted to be the best rookie group of the year!",2012,SO
232820,Dynamic Duo,"Dynamic Duo, one of the biggest names in Korean hip-hop, is made up of members Gecko and Choiza, former members of the group CB Mass. The duo gained massive popularity with their first album and are known for their powerful lyrics and rapping, as well as for the diverse musical styles that they incorporate into their music.    Rappers Choiza and Gaeko are so similar they seem like mirror images of each other. Having grown up on the same block, the two have shared almost everything in their lives : memories, experiences and, most importantly, their love for music.     However, when CB Mass, the popular hip-hop group they founded with rapper and producer Curbin, disbanded after an ugly dispute, their future seemed uncertain. Still, the two lifetime buddies knew that whatever happened, they could always rely on each other. Choiza and Gaeko returned to the musical scene as a new group, the Dynamic Duo. Their debut album, “Taxi Driver,” was released on May 17th, 2004 and dispelled people’s doubts about the rappers. According to Hanteo Information System, which keeps track of local music sales records, “Taxi Driver” has sold over 50,000 copies between the release date and June 16th, 2004.     Choiza and Gaeko started out their musical careers as members of the underground hip-hop group K.O.D. Working their way up to the mainstream music industry, they were joined by Curbin to form CB Mass in 2000. According to Hanteo Information System’s estimate, their best-selling second album “Matics” has sold more than 120,000 copies in Korea.     However, at the height of their success, rumors had it that they would break up over personal issues between members, and their last album added weight to the speculation with only the two appearing on a majority of the songs. “Resume,” the intro to “Taxi Driver,” acts as a testimony to all the rumors. On it, when Gaeko raps, “He liked standing in front of mirrors than music/ He worshipped cash more than friendship/ What he left with us is only betrayal,” it’s pretty clear who he is talking about.     Gaeko said that it’s not that they wanted to blame Curbin, but without talking about him, they can’t talk about themselves. Gaeko added that Curbin is a part of the reason why he and Choiza are here as the Dynamic Duo. However, Choiza added they would like to build their own music career free from the past name recognition earned during the CB Mass era.     On their debut album, the Dynamic Duo takes the genre of rap to the next level by incorporating storytelling elements, which they said is their boldest change from the past.     On “Two Men,” among other tracks, the duo rap about a father who is about to be laid off from his job and a boy who ran away from home after having been beaten by his father. “Tragedy Pt. 1” is a fictional touch about a young girl who seeks revenge on men after becoming infected with AIDS from her first sexual relationship.     Another big change, is that they tried to put together an expanded range of music, such as rock and house, rather than solely depending on samples from old soul music. But they said old-timers like Al Green, Stevie Wonder and Marvin Gaye are still their favorites, which is well reflected throughout the album.     The hip-hop artists added they are not so happy about the recent surge in popularity of rap music in Korea thanks to some radio-friendly rap musicians like Cho PD and MC Mong.    The two promoted their debut album mainly by performing at clubs and concerts as well as by playing their music video on cable TV, but they drew the line at going on television, especially entertainment shows. This all changed, especially after they returned from their military duties. Now they frequent some of the hottest variety TV programs regularly.    The two are not only known for producing great music under their own names, but also for producing other great  hip hop acts. Case in point, acting as a mentor, they helped to groom another representative hip hop duo, Supreme Team. They also helped find Amoeba Culture, home to the likes of Tiger JK, Yoon Mi-rae or t, and Supreme Team.",2004,SO
238779,Lee Hong-ki,"Lee Hong-ki is most known for his role as the lead singer in the band FT Island. However, he is a man of many talents and his days in entertainment started long before FT Island.    Lee made his acting debut in 2002 through the KBS2TV drama ""Magic Kid Masuri"". He went on to act in many other works throughout his career even as an adult. His transition from acting to music was propelled by a live performance he gave when he was 13 years old, of a song off the soundtrack of one of the dramas he had acted in. After witnessing his singing talent, many talent agencies immediately jumped to sign him. Lee signed with FNC Entertainment -- back then a new fledgling company -- one of the biggest agencies in Korean entertainment today. He made his music debut as FT Island's frontman in 2007.     Lee released his first official solo album in November of 2015, ""FM302"". He released a Japanese album a month later in December of 2015.     Lee is not only an actor and singer, but he also is a fashion designer and nail artist. He even released books about his passion, showing off his creative side in the work of nail art.",2007,SO
395588,Lee Seung-gi,"Lee Seung-gi is a singer, actor, TV personality and entertainer. He debuted at the age of 17 in 2004 with the hit &ldquo;Because You&rsquo;re My Woman&rdquo; and won the &ldquo;Rookie&rdquo; award in various music awards that year. He further cemented his status as an all-around multitainer through leading roles in popular dramas such as &ldquo;Brilliant Legacy&rdquo; etc. He recently starred in the drama &ldquo;Vagabond&rdquo; with Bae Suzy in 2019 and released a full length album titled &ldquo;The Project&rdquo; in December 2020.",2004,SO
234739,TEEN TOP,"There's another idol group to be on the lookout for on the k-pop scene! You may be thinking, ""Okay, so what sets this group apart from the many others out there?""      Well, first off, like their name Teen Top suggests, all of the members are still in their teens. Though all idols tend to be young, the six members of Teen Top are even younger than most. They've already been attracting a lot of attention for a number of reasons.     First off, they're ""beastly"". ""Beastly"" refers to boy idol group members that are well-built and manly. The most quinessential example being the guys of 2PM. However, because Teen Top is so young, they're being called the ""teenage 2PM"" or ""baby beasts"". Their hotness was only amplified with the help of After School member Lizzy being featured in their first music video.     Second, they're already setting themselves in the sense that they can perform live. Well. There have been media sources and netizens commenting on how their live onstage performances sound almost exactly like their edited and studio-produced album. Despite the fact that they debuted almost at the same time as big industry seniors such as Se7en, SHINee, and Taeyang were making their comebacks, Teen Top stole the spotlight as the most searched topic on Nate.com.     Third, they're attracting international attention. MTV chose to feature Teen Top on their new show ""Vice Guide to Everything"". This program aims to judge and critique the group's musicality and how much potential they have in achieving great success. Also, hot on the heels of their early live performances on television, producers in Japan were already contacting the group interested in them breaking into the Japanese music market. Fan clubs have been forming in countries all over the world including China, Tawian, Thailand, Malaysia, and the Philippines.     Their debut song ""Clap"" has been popular for its addictive, upbeat rhythm and its catchy dance moves. However, some netizens have complained that the sad lyrics of the song don't match at all with the overall feel and tune.",2010,SO
233394,K.Will,"K.Will is a new Korean singer who made his professional debut in Japan in 2004. After having achieved success in Japan, sweeping the Oricon Charts, he has advanced into other parts of Asia, including his home country of South Korea.   K.Will’s title song from his first Korean album, “Left Heart,” was produced by the “dream team” of world-renowned Korean producer Park Jin-young (JYP) and Bang Shi-hyuk. The song had been written and Park was simply waiting for the right voice to sing it when he finally happened across K.Will. Park was very impressed with the singer’s vocals and sees the pairing as destiny.   “Left Heart” and the other tracks on K.Will’s first Korean album are a collection of heart-felt ballads that gave the balladeer heart-throb status among his female fans.  In addition to his own music, K.Will is the song-writer behind hit songs “Hug” (sung by TVXQ) and “Pi/ Aversion” (sung by Fly To The Sky).    The singer recently collaborated with Epik High on “M.U.S.I.C.” and is featured on the OST of the hit drama “Money’s Warfare” (“쩐의 전쟁/Jjeon-ui Jeon-jaeng”).",,SO
239006,Park Yoo-chun,"Park Yoochun was born in Seoul, South Korea, and moved to the United States with his family when he was in the sixth grade. He moved back to Seoul after being scouted by a talent agency.     From 2003 to 2009, Park performed as a member of the mega-hit K-pop boy band TVXQ. In 2009, Park and two of his bandmates, Jaejoong and Junsu, left the group and SM Entertainment, and eventually formed a separate, 3-member group, which was later named JYJ.     In April 2010, JYJ’s debut record, the Japanese EP [The...], topped the Japanese Oricon Albums Chart. Their subsequent releases, including their global debut album, [The Beginning] (2010) and their second studio album and first Korean full-length album, [In Heaven] (2011), all debuted at number one on the Korean Gaon Album Chart.    Park’s first solo album was released in January 2016, several months into his mandatory military service. Dedicated to his fans, the 6-track mini-album includes a couple of songs he wrote himself.     Park also debuted as an actor through the hit KBS drama “Sungkyunkwan Scandal” in 2010, winning the “Rookie of the Year” Award for the role. He also took home the ""Best Newcomer Award"" and ""Most Popular Actor in a TV Drama"" at The 47th Baeksang Arts Awards, in addition to the ""Best Actor"" and ""Most Popular Asian Actor"" at the 6th Seoul International Drama Awards.    Since then, he has also starred in dramas “Miss Ripley,” 	“Rooftop Prince,”	“Missing You,” “Three Days,” and “The Girl Who Sees Smells”, as well as in films “Haemoo” and “Lucid Dream.” In 2014 and 2015, Park won the title of ""Best New Actor"" for his performance in “Haemoo” at numerous entertainment awards, including the Baeksang Arts Awards, the Blue Dragon Awards, the Daejong Film Awards, and the Busan International Film Festival.",2003,SO
404478,LABOUM,LABOUM is a South Korean girl group that debuted in 2014 with the single album &ldquo;Petit Macaron&rdquo; in 2014. The group was formed through NH Media and Nega Network&rsquo;s joint venture called Global H media and was touted as the sister group to NH Media&rsquo;s U-KISS and Nega Network&rsquo;s Brown Eyed Girls. The group&rsquo;s name LABOUM is French for &ldquo;the party.&rdquo; The group resumed promotional activities for their 2016 song &ldquo;Journey to Atlantis&rdquo; in June 2021.,2014,SK
234841,San E,"After having officially debuted with his first album in 2010, many people may have been left wondering, “Who the hec is this San E? Where in the world did he come from?” Fans have been voicing that he could play a strong role in popularizing hip hop more in Korea. Critics – or antis as we call them in Korea – have been saying he’s like an underground rapper who’s now playing the role of a comedian to get some limelight.  It may seem like San E became an overnight sensation, but the truth of the matter is that he spent many years perfecting his craft. Having immigrated to Atlanta in the US, San E grew up immersed in hip hop. More specifically what’s being dubbed “the dirty south style hip hop”. San E reached a fork in the road when he was a student at the University of Georgia. After contemplating on pursuing an office worker job within his major (Graphic Design), San E ultimately realized that he’d regret it if he didn’t pursue his passion in music. So he did.  He started uploading some of his music onto Korean websites where it caught the eye of Korean artists. Some big names, albeit underground names, started contacting him for collaborations. Names like Verbal Jint and Swings.   He was soon picked up by JYP Entertainment, a company that many aspiring singers would sell their souls to get into. As the first rapper to emerge out of the talent agency, San E started garnering a lot of attention through his teaser photos. One featured him standing by Park Jin-young holding a gorilla doll (Park Jin-young has always been compared to a gorilla). Another featuring his fellow JYP artists such as Jo-kwon from 2AM, the Wonder Girls, and miss A.   When his music hit stores, people were swept up in his catchy, truthful, and humorous lyrics, which made references to the likes of Tiger JK and Outsider. His title song, “Delicious San” actually criticizes the k-pop industry saying that it’s flooded with idol stars that overuse the “auto-tune” or voice synthesizer. His music video featured parody clips of popular variety shows in Korea and even politician Heo Kyeong-young.   The real clincher that signaled his strong start as an artist was when he beat out all other hip hop acts in Korea and won the Hip Hop Award at the Korean Music Awards.  San E promised to always deliver rap that’s “delicious”, refreshing, and cheerful. Let’s see if he lives up to that promise.",2008,SO
